Vin1,Vout1
-0.001,-0.067
0.009,-0.07
0.247,-0.074
0.279,-0.07
0.308,-0.081
0.323,-0.081
0.353,-0.08
0.495,-0.081
0.553,-0.081
3.005,-0.08
3.437,-0.08
4.512,-0.08
5.86,-0.078
6.26,-0.071
6.88,-0.071
6.92,-0.069
7.82,-0.075
8.83,-0.069
9.37,-0.051
10.27,0.024
11.59,0.093
11.76,0.084
13.27,-0.004
13.7,0.041
14.76,0.292
15.53,0.602
16.83,0.361
18.32,0.109
18.95,0.296
19.25,0.443
20.45,1.457
21.84,1.258
23.14,0.573
24.21,1.45
25.35,2.68
25.13,1.45
26.57,1.57
27.03,1.78
27.08,2.09
29.62,2.64
30.33,3.08
31.6,3.32
32.06,3.46
32.6,3.35
32.94,3.08
34.06,3.19
34.74,3.48
35.46,4.05
